91,61,165,91,61,165,91,61,165,91,61,165,90,61,165,91,61,165
91,62,164,90,62,164,90,62,164,90,62,164,91,62,164,91,62,164
91,71,158,90,71,158,91,71,158,90,71,158,90,71,158,91,71,158
91,82,149,90,81,149,90,81,149,91,82,149,91,81,149,91,81,149
90,85,145,90,85,146,90,85,146,90,85,145,91,85,146,90,85,146
90,85,141,93,85,147,91,83,148,90,86,148,87,85,143,90,85,145
91,86,152,83,86,139,92,85,145,90,85,137,94,85,147,93,80,149
91,88,129,103,85,151,82,80,154,91,86,149,84,80,145,86,85,148
91,91,162,80,87,136,99,86,139,90,75,151,92,85,146,104,85,134
91,88,131,112,83,154,67,86,153,91,86,143,94,71,159,76,85,151
91,81,164,85,86,141,104,87,132,91,78,164,86,86,142,105,88,130
91,86,141,96,74,158,75,86,151,90,87,133,108,81,156,69,85,153
90,72,155,91,85,146,106,87,129,90,93,163,80,86,136,100,86,137
90,86,150,84,75,149,83,85,149,90,90,122,112,86,152,74,80,156
90,84,129,98,85,149,97,76,148,90,90,159,76,87,130,94,85,143
91,88,156,75,86,130,90,85,146,90,93,114,103,86,151,89,72,157
90,95,112,106,85,152,85,73,159,90,87,154,77,84,134,88,85,147
91,91,161,77,88,131,96,85,141,90,80,138,96,86,148,101,79,142
91,89,126,113,85,153,71,83,155,91,86,147,88,73,154,80,85,150
91,91,164,82,86,138,102,87,135,90,72,161,89,85,144,107,89,126
91,87,137,104,78,157,71,86,152,91,87,138,101,76,158,72,86,152
90,75,161,88,85,143,105,88,129,91,86,164,83,86,139,102,87,134
90,86,146,90,72,156,79,85,150,90,89,128,114,85,153,68,84,154
90,77,143,95,85,148,102,82,138,91,92,161,78,87,133,97,85,140
90,86,153,79,81,139,87,85,147,90,92,117,107,86,152,82,76,158
90,92,115,102,85,151,91,73,156,91,89,157,75,87,129,91,85,145
91,89,159,75,89,127,93,85,143,90,88,122,100,86,149,95,74,152
91,92,119,110,85,152,77,78,157,90,86,151,82,78,145,84,85,149
91,92,162,79,87,135,99,86,138,90,74,151,92,85,146,105,85,133
91,87,134,108,84,153,72,86,152,91,86,143,93,74,157,79,85,151
90,82,156,87,86,143,99,86,139,91,81,156,88,85,143,99,86,138
91,85,144,92,82,150,86,85,148,91,85,142,95,84,149,85,85,149
91,84,146,91,85,145,92,85,145,91,85,147,90,85,145,91,85,145
90,85,145,91,85,145,91,85,145,91,85,145,90,85,145,91,85,145
90,85,145,91,85,145,90,85,145,91,85,145,91,85,145,90,85,145
